The First Tier (Most strongly recommended);
Mozart;Die Zauberflöte (The Magic Flute), K. 620;1791; 
Prokofiev;Piano Concerto #3 in C, op. 26;1921; 
Schumann;Piano Concerto in A minor, op. 54;1845; 
Shostakovich;Cello Concerto #1 in E-flat, op. 107;1959; 
Shostakovich;Symphony #10 in E minor, op. 93;1953; 
Strauss, R.;Vier letzte Lieder (Four Last Songs);1948; 
Tallis;Spem in alium;1570; 
Bartók;String Quartet #4, Sz. 91;1928; 
Dvořák;Piano Quintet #2 in A, op. 81;1887; 
Liszt;Piano Sonata in B minor, S.178;1854; 
Mendelssohn;Symphony #4 in A, op. 90 "Italian";1834; 
Messiaen;Quatuor pour la fin du temps (Quartet for the End of Time);1941; 
Schubert;Symphony #9 in C, D. 944 "Great";1827; 
Sibelius;Symphony #7 in C, op. 105;1924; 
Beethoven;Piano Concerto #5 in E-flat, op. 73 "Emperor";1809;
Brahms;String Sextet #1 in B-flat, op. 18;1860; 
Bruckner;Symphony #8 in C minor, WAB 108;1890;  
Bruckner;Symphony #9 in D minor;1896;  
Debussy;String Quartet in G minor, L 85;1893; 
Debussy;Suite Bergamasque, L 75, including "Clair de lune";1905; 
Dvořák;String Quartet #12 in F, op. 96 "American";1893; 
Elgar;Cello Concerto in E minor, op. 85;1919; 
Grieg;Piano Concerto in A minor, op. 16;1868; 
Holst;The Planets, op. 32;1916; 
Mahler;Symphony #3;1896; 
Mozart;"Great" Mass in C minor, K. 427;1782; 
Palestrina;Missa Papae Marcelli;1562; 
Prokofiev;Symphony #5 in B-flat, op. 100;1944; 
Ravel;Pavane pour une infante défunte;1899;  
Saint-Saëns;Symphony #3 in C minor, op. 78 "Organ";1886; 
Bach;Orchestral Suites, BWV 1066-1069;1724; 
Bartók;Music for Strings, Percussion, and Celesta, Sz. 106;1936; 
Beethoven;Missa Solemnis in D, op. 123;1823; 
Brahms;Clarinet Trio in A minor, op. 114;1891; 
Brahms;Piano Quartet #3 in C minor, op. 60 "Werther";1875;  
Dvořák;Symphony #8 in G, op. 88;1889; 
Gershwin;Rhapsody in Blue;1924;   
Mendelssohn;Symphony #3 in A minor, op. 56 "Scottish";1842; 
Monteverdi;Vespro della Beata Vergine 1610;1610;  
Ravel;Gaspard de la nuit;1908;  
Ravel;Piano Concerto in G;1931; 
Schubert;Piano Sonata #20 in A, D. 959;1828;
Schumann;Piano Quintet in E-flat, op. 44;1842; 
Sibelius;Finlandia, op. 26;1900; 
Stravinsky;Petrushka;1911; 
Tchaikovsky;Symphony #5 in E minor, op. 64;1888;  
The 17th Tier; 
Bizet;Carmen;1875; 
Brahms;"Double" Concerto for Violin and Cello in A minor, op. 102;1887; 
